Fichier ;Nombre de lignes ;Nombre total de tokens ;Moyenne de tokens par ligne ;Top 10 tokens,Fichier
Corpus_07_Ziri Sut/Ammud-n-yisefra-n-Lunis-At-Mengellat/Ceɛlet-aɣ-d tafat.md ;62 ;352 ;5.68 ;,ad: 21; aɣ: 18; d: 17; i: 16; ara: 10; Ad: 6; la: 6; neɣ: 5; akka: 5; ar: 4,
Corpus_07_Ziri Sut/Ammud-n-yisefra-n-Lunis-At-Mengellat/Siwel-iyi-d tamacahut.md ;25 ;319 ;12.76 ;,d: 31; i: 18; Ḥku: 8; ad: 8; iyi: 6; yi: 6; taqsiḍt: 6; t: 6; akken: 5; Mi: 5,
Corpus_07_Ziri Sut/Ammud-n-yisefra-n-Lunis-At-Mengellat/Izurar ɣef yidurar.md ;35 ;339 ;9.69 ;,Ad: 19; d: 18; i: 12; ak: 12; s: 10; ad: 7; awiɣ: 7; sanga: 7; akken: 6; teẓreḍ: 6,
Corpus_07_Ziri Sut/Ammud-n-yisefra-n-Lunis-At-Mengellat/Anef-iyi.md ;53 ;398 ;7.51 ;,ad: 26; d: 22; i: 12; aɣ: 10; ur: 8; is: 5; t: 5; Ma: 4; Ad: 4; di: 4,
Corpus_07_Ziri Sut/Ammud-n-yisefra-n-Lunis-At-Mengellat/Labas.md ;51 ;429 ;8.41 ;,d: 21; i: 19; ad: 15; s: 14; t: 11; id: 8; ur: 8; ɣas: 7; Kul: 7; nnuba: 7,
Corpus_07_Ziri Sut/Ammud-n-yisefra-n-Lunis-At-Mengellat/Tameɣra.md ;41 ;318 ;7.76 ;,d: 22; i: 11; n: 10; s: 9; a: 6; is: 5; ad: 5; Baba: 4; ɣef: 4; bu: 4,
Corpus_07_Ziri Sut/Ammud-n-yisefra-n-Lunis-At-Mengellat/Ttsellimeɣ fell-awen.md ;35 ;309 ;8.83 ;,d: 22; i: 11; di: 7; sen: 6; s: 6; n: 6; ad: 6; fell: 4; a: 4; Yis: 4,
Corpus_07_Ziri Sut/Ammud-n-yisefra-n-Lunis-At-Mengellat/Ad d-uɣalen.md ;35 ;294 ;8.40 ;,d: 19; ad: 16; i: 13; as: 10; Ma: 6; tt: 5; Wa: 5; is.: 4; ur: 4; ma: 4,
Corpus_07_Ziri Sut/Ammud-n-yisefra-n-Lunis-At-Mengellat/Ixulaf.md ;25 ;173 ;6.92 ;,"d: 15; ad: 6; ma: 4; ur: 4; m: 4; i: 3; is.: 3; k,: 3; k: 3; akken: 2",
Corpus_07_Ziri Sut/Ammud-n-yisefra-n-Lunis-At-Mengellat/Tarewla.md ;38 ;300 ;7.89 ;,d: 22; n: 13; ad: 12; a: 9; Ad: 8; ur: 6; ɣur: 6; m: 6; nceyyeε: 5; aɣ: 5,
Corpus_07_Ziri Sut/corpus-iznan-8/ammud-c1.md ;120 ;1734 ;14.45 ;,"n: 230; d: 121; i: 56; deg: 45; ad: 31; s: 26; tmerwin: 21; agi: 18; ɣef: 18; agi,: 15",
Corpus_07_Ziri Sut/corpus-iznan-/ammud-d.md ;15 ;162 ;10.80 ;,"n: 23; d: 10; ad: 4; ugellid: 4; Yusef: 3; AWCIC: 3; s: 3; ɣef: 3; umezruy: 3; AWCIC,: 2",
Corpus_07_Ziri Sut/corpus-iznan_1/ammud_c1.md ;51 ;407 ;7.98 ;,d: 21; ad: 16; t: 11; i: 9; is.: 7; ur: 6; as: 5; n: 5; s: 5; ara: 5,
Corpus_07_Ziri Sut/Ammud-amaynut-n-tefyar/Ammud n tefyar.md ;300 ;2312 ;7.71 ;,d: 140; ad: 102; i: 75; n: 58; deg: 41; ara: 39; s: 38; ur: 28; as: 24; D: 18,
Corpus_07_Ziri Sut/Ammud-n-yi-risen-n-tezlatin-n-Yideflawen.-master/Lbabuṛ.md ;20 ;106 ;5.30 ;,d: 7; i: 5; ɣer: 3; n: 2; iw.: 2; yusan: 2; Akken: 2; ibɣu: 2; yili: 2; axiṛ: 2,
"Corpus_07_Ziri Sut/Ammud-n-yi-risen-n-tezlatin-n-Yideflawen.-master/Ur nɣiɣ, ur ukireɣ.md ;16 ;124 ;7.75 ;","Ur: 8; d: 8; ad: 5; i: 5; nɣiɣ,: 2; ur: 2; ukireɣ.: 2; widak: 2; iyi: 2; yi: 2",
Corpus_07_Ziri Sut/Ammud-n-yi-risen-n-tezlatin-n-Yideflawen.-master/Ddunit.md ;9 ;123 ;13.67 ;,ur: 5; d: 5; i: 4; nni: 4; Am: 3; mi: 3; a: 3; t: 3; as: 3; iw: 2,
Corpus_07_Ziri Sut/Ammud-n-yi-risen-n-tezlatin-n-Yideflawen.-master/Igujilen n yiles.md ;12 ;110 ;9.17 ;,d: 10; n: 6; i: 6; s: 3; Ay: 2; ufus: 2; nni: 2; ten: 2; igujilen: 2; ayla: 2,
Corpus_07_Ziri Sut/Ammud-n-yi-risen-n-tezlatin-n-Yideflawen.-master/Tilemẓit.md ;26 ;177 ;6.81 ;,d: 16; i: 6; as: 5; Ad: 3; s: 3; deg: 3; ad: 3; t: 3; is.: 3; tt: 2,
Corpus_07_Ziri Sut/Ammud-n-yi-risen-n-tezlatin-n-Yideflawen.-master/Aɣrib.md ;12 ;116 ;9.67 ;,"ad: 7; d: 7; i: 4; aɣ: 3; ay: 3; s: 3; nebɣa: 2; wul: 2; wass,: 2; Aql: 1",
Corpus_07_Ziri Sut/Ammud-n-yi-risen-n-tezlatin-n-Yideflawen.-master/Lbaz.md ;15 ;114 ;7.60 ;,d: 7; aɣ: 4; deg: 4; as: 4; fell: 3; i: 3; ara: 3; Ass: 2; Kul: 2; lbaz: 2,
Corpus_07_Ziri Sut/Ammud-n-yi-risen-n-tezlatin-n-Yideflawen.-master/Acimi.md ;12 ;108 ;9.00 ;,ur: 5; d: 5; i: 3; la: 2; iyi: 2; ara.: 2; gar: 2; aneɣ: 2; neɣ: 2; Nudeɣ: 1,
Corpus_07_Ziri Sut/Ammud-n-yi-risen-n-tezlatin-n-Yideflawen.-master/Ilmeẓyen.md ;26 ;161 ;6.19 ;,ad: 11; d: 10; i: 7; yerna: 5; Yerna: 4; dessen!: 4; Amer: 3; fell: 3; asen.: 3; ten: 2,
Corpus_07_Ziri Sut/Ammud-n-yi-risen-n-tezlatin-n-Yideflawen.-master/Lɣerba.md ;16 ;129 ;8.06 ;,"d: 10; ur: 6; ten: 5; i: 5; ara: 5; ad: 3; deg: 3; yella: 3; ara,: 2; I: 2",
Corpus_07_Ziri Sut/Ammud-n-yi-risen-n-tezlatin-n-Yideflawen.-master/Tameslayt.md ;14 ;155 ;11.07 ;,"ad: 9; d: 7; ik,: 6; n: 5; i: 5; aɣ: 5; Ma: 4; itt.: 3; ak: 3; tt.: 3",
